"lon","lat","cond","cond2","mmi"
-71.0939728475,41.8749374709,"Poor",1,8.73
-71.0010049426,42.8138073115,"Poor",1,6.82
-72.8849689194,42.4557517781,"Good",3,72.07
-73.3284339308,42.0901034575,"Poor",1,10.57
-72.5766574017,42.1588373403,"Poor",1,32.98
-72.4589746541,42.7091688197,"Poor",1,33
-73.0823990305,42.4251304957,"Fair",2,47.2
-72.5905423772,42.2040246738,"Poor",1,37.88
-70.9336095344,41.957555583,"Poor",1,11.95
-71.133985557,42.7103013403,"Poor",1,38.48
-72.5627607436,42.5441872769,"Poor",1,21.87
-72.5713326785,42.6019143574,"Poor",1,29.45
-71.0935137331,42.7655313625,"Poor",1,15.7
-70.9786524256,42.1080129721,"Poor",1,15.78
-76.6970583139,38.440669187,"Fair",2,41.87
-76.9811123289,38.8280271105,"Poor",1,34.82
-78.498720101,39.6426910741,"Poor",1,6.72
-77.1808866292,39.6484795975,"Poor",1,10.12
-75.7699003441,38.6890784275,"Poor",1,9.38
-79.0839433537,39.5966987531,"Good",3,53.58
-77.3895731275,39.0663677396,"Fair",2,32.05
-77.8846057773,39.5985633211,"Good",3,65.02
-77.056233948,38.9039340774,"Good",3,64
-78.6553914772,39.6733548374,"Poor",1,21.43
-77.5073636064,39.1798919581,"Fair",2,43.8
-76.9302438023,39.6901659108,"Good",3,49.27
-77.1245750081,38.6517208086,"Poor",1,32.15
-78.4292682601,39.624205626,"Good",3,59.22
-77.8404754601,39.6498575687,"Good",3,58.77
-77.1685602962,38.6157975509,"Poor",1,30.58
-77.4120791512,39.3218844213,"Fair",2,33.42
-77.7981272291,39.4573420673,"Poor",1,23.18
-76.6898372655,39.3135634767,"Poor",1,16.12
-75.7411505822,38.549568911,"Poor",1,6.4
-78.9045319931,39.5034471172,"Fair",2,34.23
-77.4862290429,39.1848292732,"Fair",2,38.98
-77.3010802605,39.5925493131,"Good",3,49.38
-76.7552685417,38.6203027322,"Good",3,64.07
-78.7517628131,39.6255381873,"Poor",1,28.13
-77.2833253298,39.3110717917,"Poor",1,26.15
-77.0228238468,38.5116911219,"Fair",2,52.12
-69.8479895477,45.9450731835,"Fair",2,51.62
-68.9073558144,47.1699060377,"Poor",1,0
-70.5562976778,43.4399041723,"Fair",2,45.43
-70.3844213172,44.8917767282,"Good",3,71.95
-68.9969630617,44.9603276978,"Poor",1,25.52
-67.8617597158,45.8845572946,"Good",3,59.95
-70.0993017049,45.6904362293,"Good",3,74.15
-69.4380823418,46.4354415075,"Fair",2,50.75
-67.7962054123,46.637702957,"Fair",2,53.98
-69.0144391351,47.1111556276,"Good",3,90.32
-69.556453908,44.9834070988,"Good",3,86.22
-67.8981012852,47.1318267853,"Poor",1,9.02
-68.9442429808,47.1542792023,"Good",3,75.1
