DATE,UTC_TIME,MAG,LAT,LON,DEPTH
2019/07/04,17:47:17.81,3.5,35.7455,-117.5465,7.1
2019/07/04,17:47:40.97,3.11,35.726,-117.5585,3.6
2019/07/04,17:47:54.97,3.4,35.72867,-117.56067,5.2
2019/07/04,17:48:03.16,3.27,35.6365,-117.55183,6.6
2019/07/04,17:48:15.68,3.11,35.70533,-117.5245,5.5
2019/07/04,17:48:24.15,2.96,35.65933,-117.52633,2.7
2019/07/04,17:49:35.19,2.52,35.7335,-117.50683,3.9
2019/07/04,17:49:38.95,2.57,35.687,-117.49067,10.7
2019/07/04,17:50:48.29,2.73,35.738,-117.52933,7.7
2019/07/04,17:50:48.96,2.79,35.678,-117.49917,1.1
2019/07/04,17:51:46.65,3.46,35.674,-117.5235,5.3
2019/07/04,17:52:41.70,2.92,35.72183,-117.52517,7
2019/07/04,17:54:59.56,2.53,35.63917,-117.56283,10.5
2019/07/04,17:55:30.80,2.57,35.6705,-117.52217,3.9
2019/07/04,17:57:31.46,2.95,35.6595,-117.52233,2.3
2019/07/04,17:57:43.06,2.78,35.6725,-117.47433,8.8
2019/07/04,17:58:02.64,3.33,35.702,-117.50833,4.8
2019/07/04,18:00:40.19,2.67,35.63033,-117.569,1.6
2019/07/04,18:01:01.19,2.59,35.67333,-117.51183,1.5
2019/07/04,18:01:23.18,3.53,35.68767,-117.5085,1.3
2019/07/04,18:01:31.23,3.42,35.59783,-117.5905,6.8
2019/07/04,18:02:54.11,2.53,35.60667,-117.58217,5.8
2019/07/04,18:03:18.59,2.85,35.74783,-117.5425,6.8
2019/07/04,18:05:41.83,2.76,35.71533,-117.5295,4.5
2019/07/04,18:05:55.91,2.61,35.72667,-117.5165,9
2019/07/04,18:06:16.11,3.79,35.66067,-117.523,2.1
2019/07/04,18:06:51.05,2.6,35.69317,-117.462,11.6
2019/07/04,18:07:09.27,3.51,35.59917,-117.61017,2.1
2019/07/04,18:07:10.91,3.49,35.65083,-117.542,2.8
2019/07/04,18:07:50.81,2.55,35.7295,-117.533,7.2
2019/07/04,18:08:33.16,3.38,35.66783,-117.50617,2.3
2019/07/04,18:08:45.07,3.55,35.71083,-117.47683,1.2
2019/07/04,18:10:32.71,3.46,35.65983,-117.53483,10.2
2019/07/04,18:11:22.87,2.69,35.60033,-117.59517,7.3
2019/07/04,18:12:52.07,3.44,35.67033,-117.5605,6.9
2019/07/04,18:13:45.53,2.89,35.70033,-117.48733,11
2019/07/04,18:13:51.40,3.5,35.70817,-117.485,6.4
2019/07/04,18:15:04.97,2.75,35.61033,-117.595,4.9
2019/07/04,18:15:12.82,3.23,35.66917,-117.52033,1.8
2019/07/04,18:16:33.73,2.94,35.72517,-117.5335,6.7
2019/07/04,18:17:15.32,2.87,35.7185,-117.53367,4.9
2019/07/04,18:18:45.72,3.38,35.638,-117.611,9.4
2019/07/04,18:18:52.07,2.98,35.61233,-117.624,0
2019/07/04,18:19:08.09,2.6,35.72367,-117.5085,11.6
2019/07/04,18:21:25.34,2.61,35.67883,-117.51533,2.9
2019/07/04,18:26:03.75,3.13,35.66383,-117.5245,2.5
2019/07/04,18:27:26.77,3.29,35.67483,-117.51433,2.7
2019/07/04,18:27:59.44,4.23,35.745,-117.55217,6.6
2019/07/04,18:28:43.64,3.75,35.66617,-117.56567,7.1
2019/07/04,18:34:49.01,2.59,35.6895,-117.48833,0.6
2019/07/04,18:35:44.04,2.5,35.7215,-117.5655,0.2
2019/07/04,18:37:31.50,2.64,35.72,-117.57233,1.3
2019/07/04,18:38:45.61,2.54,35.70167,-117.5035,2.7
2019/07/04,18:39:44.44,4.59,35.60133,-117.597,2.8
2019/07/04,18:40:56.74,3.05,35.652,-117.53683,2
2019/07/04,18:41:14.27,3.07,35.67633,-117.5115,2.1
2019/07/04,18:44:25.00,3.09,35.719,-117.55867,2.1
2019/07/04,18:44:49.43,2.7,35.6725,-117.55817,3.2
